STA,StationName,Elevation,Latitude,Longitude,NearbyCity,HydroNo,BasinNo,Owner,Maintenance,Operator,MapNo,CollectNo,CountyName,BasinName,AgencyName,HydroArea,Sensors
BWH,BIG WHITNEY MEADOW,9750,36.438292,-118.256738,LONE PINE,7,9701,999,999,1,0,0,TULARE,KERN RIVER,CA Dept of Water Resources,TULARE LAKE,"3,18,82"
BWR,BREWER CREEK,6250,41.435,-122.1,,5,6601,999,999,32,3,0,SISKIYOU,MC CLOUD RIVER,McCloud Ranger District,SACRAMENTO RIVER,"3,18,82"
BXC,BOX CAMP,6450,41.597,-123.165,,1,601,999,999,16,2,0,SISKIYOU,SCOTT RIVER,Salmon/Scott River Ranger District,NORTH COAST,"3,18,82"
CAP,CAPLES LAKE,8000,38.7107925415039,-120.041580200195,KIRKWOOD,5,7701,50,702,50,999,0,ALPINE,AMERICAN RIVER,US Bureau of Reclamation,SACRAMENTO RIVER,"2,3,4,9,10,12,14,16,17,18,26,30,31,32,45,77,78,82,116"
CBM,COLBY MEADOW,9700,37.178,-118.72,,6,9001,999,999,68,26,0,FRESNO,SAN JOAQUIN RIVER,"Southern California Edison Company, Big Creek",SAN JOAQUIN RIVER,"3,18,82"
CBT,CRABTREE MEADOW,10700,36.5636825561523,-118.347946166992,LONE PINE,7,9701,702,702,702,999,0,TULARE,KERN RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,TULARE LAKE,"2,3,4,12,14,18,30,31,32,45,82,96,97,98,99,103,104,105,115"
CC5,CASTLE CREEK 5,7400,39.34947,-120.35392,SODA SPRINGS,5,7401,999,999,43,0,0,NEVADA,YUBA RIVER,Central Sierra Snow Lab,SACRAMENTO RIVER,"3,18,82"
CCO,CISCO,5900,39.303,-120.543,TRUCKEE,5,7401,999,999,63,14,0,PLACER,YUBA RIVER,"Pacific Gas and Electric Company, Auburn",SACRAMENTO RIVER,"3,18,82"
CDP,CEDAR PASS,7100,41.583,-120.303,CEDARVILLE,5,6701,54,54,54,5,0,MODOC,PIT RIVER,Natural Resources Conservation Service,SACRAMENTO RIVER,"2,3,4,18,30,31,32,82"
CFM,CLARK FORK MEADOW,8900,38.362,-119.68,DARDANELLE,6,8501,999,999,67,19,0,ALPINE,STANISLAUS RIVER,"Pacific Gas and Electric Company, Angels Camp",SAN JOAQUIN RIVER,"3,18,82"
CHF,CHESTER FLAT,4600,40.283,-121.25,,5,7301,999,999,20,9,0,PLUMAS,FEATHER RIVER,Eagle Lake Ranger District,SACRAMENTO RIVER,"3,18,82"
CHK,CHALK BLUFF,4850,39.305,-120.81,,5,7401,999,81,81,14,0,NEVADA,YUBA RIVER,Nevada Irrigation District,SACRAMENTO RIVER,"3,18,82"
CHM,CHILKOOT MEADOW,7150,37.408390045166,-119.4921875,BASS LAKE,6,9001,50,702,50,999,0,MADERA,SAN JOAQUIN RIVER,US Bureau of Reclamation,SAN JOAQUIN RIVER,"2,3,4,14,16,18,30,31,32,45,82"
CHQ,CHIQUITO CREEK,6800,37.498,-119.408,,6,9001,999,35,35,25,0,MADERA,SAN JOAQUIN RIVER,Bass Lake Ranger District,SAN JOAQUIN RIVER,"3,18,82"
CHU,CHURCH MEADOWS,6700,39.681233,-120.622767,,5,7301,2,2,2,0,0,SIERRA,FEATHER RIVER,CA Dept of Water Resources/Beckwourth,SACRAMENTO RIVER,"3,18,82"
CKT,CHILKOOT LAKE,7450,37.408,-119.48,,6,9001,999,35,35,25,0,MADERA,SAN JOAQUIN RIVER,Bass Lake Ranger District,SAN JOAQUIN RIVER,"3,18,82"
CLM,CLOVER MEADOW,7000,37.528,-119.275,,6,9001,999,35,35,25,0,MADERA,SAN JOAQUIN RIVER,Bass Lake Ranger District,SAN JOAQUIN RIVER,"3,18,82"
CLT,CHARLOTTE RIDGE,10700,36.77,-118.415,,7,9401,999,999,1,32,0,FRESNO,KINGS RIVER,CA Dept of Water Resources,TULARE LAKE,"3,18,82"
CMC,CHAPMAN CREEK,5850,39.633,-120.533,,5,7401,999,999,38,14,0,SIERRA,YUBA RIVER,Yuba River Ranger District,SACRAMENTO RIVER,"3,18,82"
CRA,CORA LAKES,8400,37.598,-119.267,NORTH FORK,6,9001,999,35,35,25,0,MADERA,SAN JOAQUIN RIVER,Bass Lake Ranger District,SAN JOAQUIN RIVER,"3,18,82"
CRF,CORRAL FLAT,7200,38.625,-120.218,,6,8301,999,12,12,18,0,EL DORADO,MOKELUMNE RIVER,Amador Ranger District,SAN JOAQUIN RIVER,"3,18,82"
CRM,CORRAL MEADOW,6650,38.398,-120.04,,6,8501,999,36,36,18,0,TUOLUMNE,STANISLAUS RIVER,Calaveras Ranger District,SAN JOAQUIN RIVER,"3,18,82"
CSV,CASA VIEJA MEADOWS,8300,36.1980972290039,-118.267684936523,FAIRVIEW,7,9701,702,702,702,999,0,TULARE,KERN RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,TULARE LAKE,"3,4,14,18,30,31,32,82"
CUR,COURTRIGHT,8350,37.072,-118.965,SHAVER LAKE,7,9401,999,999,61,26,0,FRESNO,KINGS RIVER,"Pacific Gas and Electric Company, Auberry",TULARE LAKE,"3,18,82"
CW1,COTTONWOOD LAKES 1,10150,36.483,-118.177,LONE PINE,9,11001,999,999,71,32,0,INYO,OWENS RIVER,City of Los Angeles; Dept of Water and Power,SOUTH LAHONTAN,"3,18,82"
CWP,COTTONWOOD PASS,11050,36.449653,-118.219401,LONE PINE,7,9701,999,999,1,0,0,TULARE,KERN RIVER,CA Dept of Water Resources,TULARE LAKE,"3,18,82"
CYT,COYOTE LAKE,8850,37.208,-119.073,,6,9001,999,999,68,25,0,FRESNO,SAN JOAQUIN RIVER,"Southern California Edison Company, Big Creek",SAN JOAQUIN RIVER,"3,18,82"
DAN,DANA MEADOWS,9800,37.896162,-119.25726,TUOLUMNE MEADOWS,6,8601,702,702,702,0,0,TUOLUMNE,TUOLUMNE RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,SAN JOAQUIN RIVER,"2,3,4,9,10,12,14,16,18,30,31,32,45,52,77,78,82,96,97,98,99,103,104,105,106,107,108,115,194,195,196,197,198,199,246,247"
DDF,DEADFALL LAKES,7200,41.318,-122.503,MOUNT SHASTA CITY,1,901,999,999,33,3,0,TRINITY,TRINITY RIVER,Mount Shasta Ranger District,NORTH COAST,"3,18,82"
DDM,DEADMAN CREEK,9250,38.3315963745117,-119.654113769531,GANNS,6,8501,50,702,50,999,0,TUOLUMNE,STANISLAUS RIVER,US Bureau of Reclamation,SAN JOAQUIN RIVER,"2,3,4,9,10,14,18,30,31,32,45,77,78,82"
DHC,DEAD HORSE CANYON,4500,41.208,-121.775,,5,6601,999,999,32,4,0,SISKIYOU,MC CLOUD RIVER,McCloud Ranger District,SACRAMENTO RIVER,"3,18,82"
DHM,DEAD HORSE MEADOW,7300,35.873,-118.587,,7,9701,999,999,30,39,0,TULARE,KERN RIVER,Western Divide Ranger District,TULARE LAKE,"3,18,82"
DMN,DIAMOND CROSSING,6050,39.112,-120.283,,5,7701,999,87,87,14,0,PLACER,AMERICAN RIVER,Placer County Water Agency,SACRAMENTO RIVER,"3,18,82"
DNS,DONNER SUMMIT,6900,39.31,-120.338,,5,7401,999,999,63,14,0,PLACER,YUBA RIVER,"Pacific Gas and Electric Company, Auburn",SACRAMENTO RIVER,"3,18,82"
DPO,DEVILS POSTPILE,7569,37.6294097900391,-119.084671020508,MAMMOTH LAKE,6,9001,55,702,702,999,2,MADERA,SAN JOAQUIN RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,SAN JOAQUIN RIVER,"2,3,4,9,10,12,14,17,18,30,31,32,77,78,82,103,104,105,106,107,108,117,118,119,120,121,246,247"
DSM,DODSONS MEADOW,8050,37.092,-118.958,,7,9401,999,999,61,26,0,FRESNO,KINGS RIVER,"Pacific Gas and Electric Company, Auberry",TULARE LAKE,"3,18,82"
DTL,DUTCH LAKE,9100,37.258,-118.997,,6,9001,999,999,68,26,0,FRESNO,SAN JOAQUIN RIVER,"Southern California Edison Company, Big Creek",SAN JOAQUIN RIVER,"3,18,82"
DYM,DYNAMITE MEADOW,5700,41.233,-122.817,CALLAHAN,1,601,999,999,16,3,0,SISKIYOU,SCOTT RIVER,Salmon/Scott River Ranger District,NORTH COAST,"3,18,82"
ECS,ECHO SUMMIT,7450,38.82852,-120.03898,,5,7701,999,999,14,17,0,EL DORADO,AMERICAN RIVER,Placerville Ranger District,SACRAMENTO RIVER,"3,18,82"
EGM,EAGLE MEADOW,7500,38.288,-119.832,,6,8501,999,999,67,19,0,TUOLUMNE,STANISLAUS RIVER,"Pacific Gas and Electric Company, Angels Camp",SAN JOAQUIN RIVER,"3,18,82"
ELL,ELLERY LAKE,9600,37.938,-119.248,TUOLUMNE MEADOWS,9,10901,999,702,69,25,0,MONO,MONO LAKE,"Southern California Edison Company, Bishop",SOUTH LAHONTAN,"3,18,82"
EML,EMERALD LAKE,10600,37.183,-118.762,,6,9001,999,999,68,26,0,FRESNO,SAN JOAQUIN RIVER,"Southern California Edison Company, Big Creek",SAN JOAQUIN RIVER,"3,18,82"
ENM,ENGLISH MOUNTAIN,7100,39.436,-120.525,,5,7401,999,81,81,14,0,NEVADA,YUBA RIVER,Nevada Irrigation District,SACRAMENTO RIVER,"3,18,82"
EPP,EAST PIUTE PASS,10800,37.235,-118.687,,9,11001,999,999,1,26,0,INYO,OWENS RIVER,CA Dept of Water Resources,SOUTH LAHONTAN,"3,18,82"
ERB,EUREKA BOWL,6800,39.756583,-120.71965,,5,7301,2,2,2,0,0,PLUMAS,FEATHER RIVER,CA Dept of Water Resources/Beckwourth,SACRAMENTO RIVER,"3,18,82"
ETN,ETNA MOUNTAIN,5900,41.4,-123.001,ETNA,1,601,999,999,16,2,0,SISKIYOU,SCOTT RIVER,Salmon/Scott River Ranger District,NORTH COAST,"3,18,82"
EUR,EUREKA LAKE,6200,39.76165,-120.714717,,5,7301,2,2,2,0,0,PLUMAS,FEATHER RIVER,CA Dept of Water Resources/Beckwourth,SACRAMENTO RIVER,"3,18,82"
FBN,FREEL BENCH,7300,38.85,-119.95,,8,10601,999,54,54,19,0,EL DORADO,LAKE TAHOE,Natural Resources Conservation Service,NORTH LAHONTAN,"3,18,82"
FCV,FRENCHMAN COVE,5800,39.897,-120.265,,5,7301,2,2,2,14,0,PLUMAS,FEATHER RIVER,CA Dept of Water Resources/Beckwourth,SACRAMENTO RIVER,"3,18,82"
FDM,FRED MEADOW,6950,37.023,-119.08,,7,9401,999,999,61,25,0,FRESNO,KINGS RIVER,"Pacific Gas and Electric Company, Auberry",TULARE LAKE,"3,18,82"
FEM,FEATHER RIVER MEADOW,5522,40.35511,-121.42496,,5,7301,999,999,62,0,0,LASSEN,FEATHER RIVER,"Pacific Gas and Electric Company, Rogers Flat",SACRAMENTO RIVER,"3,18,82"
FLC,FLORENCE LAKE,7200,37.277,-118.962,,6,9001,999,999,68,26,0,FRESNO,SAN JOAQUIN RIVER,"Southern California Edison Company, Big Creek",SAN JOAQUIN RIVER,"3,18,82"
FLK,FLETCHER LAKE 2,10100,37.7956,-119.3459,YOSEMITE NATIONAL PARK,6,8701,52,52,52,0,99,TUOLUMNE,MERCED RIVER,Yosemite National Park,SAN JOAQUIN RIVER,"3,18,82"
FNF,FURNACE FLAT,6700,39.355,-120.503,,5,7401,999,999,63,14,0,NEVADA,YUBA RIVER,"Pacific Gas and Electric Company, Auburn",SACRAMENTO RIVER,"3,18,82"
FNP,FINDLEY PEAK,6500,39.47,-120.572,,5,7401,999,81,81,14,0,NEVADA,YUBA RIVER,Nevada Irrigation District,SACRAMENTO RIVER,"3,18,82"
FOD,LAKE FORDYCE,6500,39.36,-120.5,SODA SPRINGS,5,7401,999,999,63,14,0,NEVADA,YUBA RIVER,"Pacific Gas and Electric Company, Auburn",SACRAMENTO RIVER,"3,18,82"
FP3,FREDONYER PASS 3,5850,40.375,-120.872,,5,7301,999,999,20,10,0,LASSEN,FEATHER RIVER,Eagle Lake Ranger District,SACRAMENTO RIVER,"3,18,82"
FRW,FAREWELL GAP,9500,36.415210723877,-118.578979492187,PORTERVILLE,7,9501,702,702,702,999,0,TULARE,KAWEAH RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,TULARE LAKE,"3,4,9,10,12,14,18,30,31,32,82,96,97,98,99,246,248"
GBN,GIBSONVILLE,5400,39.725,-120.932,,5,7401,999,999,80,14,0,SIERRA,YUBA RIVER,South Feather Water and Power Agency,SACRAMENTO RIVER,"3,18,82"
GEM,GEM PASS,10750,37.78,-119.17,JUNE LAKE,9,10901,702,702,702,25,0,MONO,MONO LAKE,CA Dept of Water Resources/DFM-Hydro-SMN,SOUTH LAHONTAN,"2,3,4,9,10,12,14,18,30,31,32,77,78,82,104,105,106,107,108,246,247"
GFL,GIN FLAT (COURSE),7000,37.765,-119.773,CRANE FLAT,6,8701,999,999,52,25,0,MARIPOSA,MERCED RIVER,Yosemite National Park,SAN JOAQUIN RIVER,"3,18,82"
GFR,GIANT FOREST,6400,36.57,-118.768,LONE PINE,7,9501,999,999,53,32,0,TULARE,KAWEAH RIVER,Sequoia and Kings Canyon National Parks,TULARE LAKE,"3,18,82"
GL2,GLENBROOK 2 (NEVADA),6900,39.083,-119.908,,8,10601,999,999,93,999,0,State of Nevada,LAKE TAHOE,"Truckee River Basin Water Committee, Reno",NORTH LAHONTAN,"3,18,82"
GML,GEM LAKE,9150,37.752,-119.162,AUBERRY,9,10901,999,999,69,25,0,MONO,MONO LAKE,"Southern California Edison Company, Bishop",SOUTH LAHONTAN,"3,18,82"
GNL,GIANELLI MEADOW,8400,38.204308,-119.893188,STRAWBERRY,6,8501,50,702,50,18,0,TUOLUMNE,STANISLAUS RIVER,US Bureau of Reclamation,SAN JOAQUIN RIVER,"2,3,4,14,16,18,30,31,32,45,82"
GRZ,GRIZZLY RIDGE,6900,39.917,-120.645,QUINCY,5,7301,999,703,703,14,0,PLUMAS,FEATHER RIVER,CA Dept of Water Resources/Operations and Maintenance,SACRAMENTO RIVER,"2,3,4,14,18,30,31,32,45,82,237,238"
GYF,GUYOT FLAT,10650,36.523,-118.348,,7,9701,999,999,1,32,0,TULARE,KERN RIVER,CA Dept of Water Resources,TULARE LAKE,"3,18,82"
GYR,GRAY ROCK LAKES,6200,41.217,-122.417,DUNSMUIR,5,6501,999,999,33,3,0,SISKIYOU,SACRAMENTO RIVER,Mount Shasta Ranger District,SACRAMENTO RIVER,"3,18,82"
HCL,HUCKLEBERRY LAKE,7800,38.102,-119.745,,6,8601,999,999,37,19,0,TUOLUMNE,TUOLUMNE RIVER,Summit Ranger District,SAN JOAQUIN RIVER,"3,18,82"
HCM,HORSE CORRAL MEADOW,7600,36.752,-118.75,,7,9401,999,999,91,32,0,FRESNO,KINGS RIVER,Kings River Water Association,TULARE LAKE,"3,18,82"
HHM,HIGHLAND MEADOW,8700,38.4906616210938,-119.805625915527,BEAR VALLEY,6,8301,702,702,702,999,0,ALPINE,MOKELUMNE RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,SAN JOAQUIN RIVER,"2,3,4,9,10,12,14,17,18,30,31,32,45,82,103,104,105,194,195,196,197,198,199,246,247"
HIG,HIGHLAND LAKES,6030,41.0917816162109,-122.491561889648,GIBSON,1,901,50,702,50,999,0,TRINITY,TRINITY RIVER,US Bureau of Reclamation,NORTH COAST,"2,3,4,12,14,16,18,45,82"
HKM,HOCKETT MEADOWS,8500,36.382,-118.655,MINERAL KING,7,9501,999,999,53,32,0,TULARE,KAWEAH RIVER,Sequoia and Kings Canyon National Parks,TULARE LAKE,"3,18,82"
HLK,HELLS KITCHEN,6550,38.417,-120.1,ARNOLD,6,8501,999,36,36,18,0,CALAVERAS,STANISLAUS RIVER,Calaveras Ranger District,SAN JOAQUIN RIVER,"3,18,82"
HLM,HELMS MEADOW,8250,37.122,-119.005,,7,9401,999,999,61,25,0,FRESNO,KINGS RIVER,"Pacific Gas and Electric Company, Auberry",TULARE LAKE,"3,18,82"
HMS,HAMS STATION,5500,38.543,-120.377,,6,8301,999,12,12,18,0,AMADOR,MOKELUMNE RIVER,Amador Ranger District,SAN JOAQUIN RIVER,"3,18,82"
HRF,HARKNESS FLAT,5946,40.40666,-121.27295,CHESTER,5,7301,999,999,62,0,0,LASSEN,FEATHER RIVER,"Pacific Gas and Electric Company, Rogers Flat",SACRAMENTO RIVER,"2,3,18,45,82"
HRG,HERRING CREEK,7300,38.242,-119.942,,6,8501,999,999,67,19,0,TUOLUMNE,STANISLAUS RIVER,"Pacific Gas and Electric Company, Angels Camp",SAN JOAQUIN RIVER,"3,18,82"
HRS,HORSE MEADOW,8400,38.158,-119.662,PINECREST,6,8601,702,702,702,19,0,TUOLUMNE,TUOLUMNE RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,SAN JOAQUIN RIVER,"3,4,12,14,18,30,31,32,82"
HRT,HEART LAKE,10100,37.272,-118.877,,6,9001,999,999,68,26,0,FRESNO,SAN JOAQUIN RIVER,"Southern California Edison Company, Big Creek",SAN JOAQUIN RIVER,"3,18,82"
HS2,HUMBUG SUMMIT 2,4956,40.18496,-121.30726,HUMBUG,5,7301,999,999,62,0,0,PLUMAS,FEATHER RIVER,"Pacific Gas and Electric Company, Rogers Flat",SACRAMENTO RIVER,"3,18,82"
HTT,HUNTINGTON LAKE,7000,37.228,-119.222,LAKESHORE,6,9001,999,999,68,25,0,FRESNO,SAN JOAQUIN RIVER,"Southern California Edison Company, Big Creek",SAN JOAQUIN RIVER,"3,18,82"
HYS,HUYSINK,6600,39.281421661377,-120.529632568359,CISCO,5,7701,50,702,50,999,0,PLACER,AMERICAN RIVER,US Bureau of Reclamation,SACRAMENTO RIVER,"2,3,4,14,16,18,30,31,32,45,82"
IHS,ICE HOUSE,5300,38.812,-120.375,KYBURZ,5,7701,999,999,13,18,0,EL DORADO,AMERICAN RIVER,Pacific Ranger District,SACRAMENTO RIVER,"3,18,82"
JCM,JACKASS MEADOW,6950,37.497,-119.33,,6,9001,999,35,35,25,0,MADERA,SAN JOAQUIN RIVER,Bass Lake Ranger District,SAN JOAQUIN RIVER,"3,18,82"
KRC,KERRICK CORRAL,7000,38.177,-119.96,,6,8601,999,999,37,19,0,TUOLUMNE,TUOLUMNE RIVER,Summit Ranger District,SAN JOAQUIN RIVER,"3,18,82"
KSR,KAISER PASS,9100,37.295,-119.102,,6,9001,999,999,68,25,0,FRESNO,SAN JOAQUIN RIVER,"Southern California Edison Company, Big Creek",SAN JOAQUIN RIVER,"3,18,82"
KTL,KETTLE ROCK,7300,40.14,-120.715,GREENVILLE,5,7301,703,703,703,10,0,PLUMAS,FEATHER RIVER,CA Dept of Water Resources/Operations and Maintenance,SACRAMENTO RIVER,"2,3,4,14,18,30,31,32,45,82"
LB2,LUMBERYARD 2,6500,38.545,-120.305,,6,8301,999,12,12,18,0,AMADOR,MOKELUMNE RIVER,Amador Ranger District,SAN JOAQUIN RIVER,"3,18,82"
LCP,LOWER CARSON PASS,8400,38.693,-119.998,,5,7701,999,999,209,19,0,ALPINE,AMERICAN RIVER,El Dorado Irrigation District,SACRAMENTO RIVER,"3,18,82"
LCR,LOST CORNER MOUNTAIN,7500,39.017,-120.215,,5,7701,999,85,85,14,0,EL DORADO,AMERICAN RIVER,Sacramento Municipal Utility District,SACRAMENTO RIVER,"2,3,4,18,82"
LKB,LOWER KIBBIE,6700,38.033,-119.878,MATHER,6,8601,999,999,37,19,0,TUOLUMNE,TUOLUMNE RIVER,Summit Ranger District,SAN JOAQUIN RIVER,"3,18,82"
LLL,LAKE LUCILLE,8200,38.86,-120.112,,8,10601,999,999,93,18,0,EL DORADO,LAKE TAHOE,"Truckee River Basin Water Committee, Reno",NORTH LAHONTAN,"3,18,82"
