Location,ID,Latitude,Longitude,River
Williamson River - Klamath Agency,WKAO3,42.74028,-121.83333,Williamson River
Sacramento River - Wilkins Slough,WLKC1,39.01,-121.82361,Sacramento River
Williamson River - Chiloquin,WMSO3,42.565,-121.87833,Williamson River
West Fork Carson River - Woodfords,WOOC1,38.76944,-119.83194,West Fork Carson River
Dry Creek - Lake Sonoma,WSDC1,38.72306,-123.01,Dry Creek
Whitewater River - Indio,WTIC1,33.73724,-116.23612,Whitewater River
West Walker River - Below Little Walker Near Coleville,WWBC1,38.37972,-119.44917,West Walker River
West Walker River - Hudson,WWHN2,38.80972,-119.22639,West Walker River
Whitewater River - Rancho Mirage,WWIC1,33.74944,-116.42194,Whitewater River
Santa Margarita River - Ysidora,YDRC1,33.31111,-117.34639,Santa Margarita River
Arroyo Valle - Lang Canyon,YLEC1,37.56139,-121.68278,Arroyo Valle
Cache Creek - Yolo,YLOC1,38.72722,-121.80611,Cache Creek
Shasta River - Yreka,YREC1,41.82306,-122.59444,Shasta River
Lytle Creek - Colton,YTLC1,34.07889,-117.30472,Lytle Creek
Feather River - Yuba City WTP,YWPC1,39.16165,-121.61242,Feather River
