Location,ID,Latitude,Longitude,River
Owens Creek - Owens Reservoir,OWCC1,37.31528,-120.18694,Owens Creek
Kings River - Pine Flat Lake,PFTC1,36.83194,-119.32361,Kings River
Eel River - Lake Pillsbury,PLBC1,39.40833,-122.95834,Eel River
North Fork Feather River - Prattville,PLLC1,40.20917,-121.15694,North Fork Feather River
Prosser Creek - Prosser Creek Reservoir,PSRC1,39.37944,-120.13667,Prosser Creek
Piru Creek - Pyramid Lake,PYMC1,34.64472,-118.76305,Piru Creek
Bear River - Rollins Lake,ROLC1,39.13556,-120.94917,Bear River
Tule River - Lake Success,SCSC1,36.06111,-118.92194,Tule River
Stony Creek - Stony Gorge Reservoir,SGEC1,39.58306,-122.53306,Stony Creek
Sacramento River - Shasta Lake,SHDC1,40.71417,-122.41611,Sacramento River
San Antonio River - Lake San Antonio,SNRC1,35.79667,-120.88556,San Antonio River
Deer Creek - Scotts Flat Reservoir,SOVC1,39.27361,-120.93111,Deer Creek
Santa Ana River - Mentone,SRWC1,34.10834,-117.10059,Santa Ana River
Stevens Creek - Stevens Creek Reservoir,STDC1,37.29861,-122.07611,Stevens Creek
Little Truckee River - Stampede Reservoir,STPC1,39.47056,-120.10306,Little Truckee River
South Fork Yuba River - Lake Spaulding,SUAC1,39.32639,-120.64222,South Fork Yuba River
Santa Ysabel Creek - Sutherland Reservoir,SUDC1,33.11806,-116.78667,Santa Ysabel Creek
San Vicente Creek - San Vicente Reservoir,SVIC1,32.91278,-116.92416,San Vicente Creek
West Fork Mojave River - Silverwood Lake,SVWC1,34.30417,-117.31805,West Fork Mojave River
Lake Tahoe Inflow - Tahoe Basin,TAHC1,39.16778,-120.14278,Lake Tahoe Inflow
Kaweah River - Lake Kaweah,TMDC1,36.415,-119.00194,Kaweah River
West Walker River - Topaz Lake,TPZC1,38.63667,-119.5075,West Walker River
Cuyama River - Twitchell Dam,TWDC1,34.98361,-120.32083,Cuyama River
Uvas Creek - Uvas Reservoir,UVRC1,37.06556,-121.6875,Uvas Creek
Temecula Creek - Vail Lake,VLKC1,33.49556,-116.97583,Temecula Creek
Clear Creek - Whiskeytown Reservoir,WHSC1,40.59806,-122.53694,Clear Creek
Dry Creek - Lake Sonoma,WSDC1,38.72306,-123.01,Dry Creek
